project_name,TP,FN,FP,TN,precision,recall,f1_score
achilles,2,2,0,1312,1,0.5,0.6667
activiti,8,24,14,1995,0.3636,0.25,0.2963
alluxio,111,5,0,71,1,0.9569,0.978
ambari,36,10,4,263,0.9,0.7826,0.8372
assertj-core,0,1,0,6204,0,0,0
commons-exec,0,1,1,53,0,0,0
elastic-job-lite,2,1,0,555,1,0.6667,0.8
handlebars.java,0,1,0,350,0,0,0
hbase,90,55,27,257,0.7692,0.6207,0.687
hector,21,12,6,92,0.7778,0.6364,0.7
http-request,13,5,3,142,0.8125,0.7222,0.7647
httpcore,9,13,13,677,0.4091,0.4091,0.4091
incubator-dubbo,10,9,5,2109,0.6667,0.5263,0.5882
java-websocket,20,3,0,122,1,0.8696,0.9302
logback,3,19,2,779,0.6,0.1364,0.2222
ninja,0,1,0,306,0,0,0
okhttp,21,79,42,666,0.3333,0.21,0.2577
orbit,1,6,2,77,0.3333,0.1429,0.2
spring-boot,62,20,17,1918,0.7848,0.7561,0.7702
undertow,2,5,4,170,0.3333,0.2857,0.3077
wildfly,6,17,10,960,0.375,0.2609,0.3077
wro4j,3,13,1,1117,0.75,0.1875,0.3
zxing,0,2,0,343,0,0,0
,420,304,151,20538,0.7386,0.58,0.647985
